序号,变量名,数据类型,隐藏初始值,初始值,掉电保持,网络公开,注释,软元件地址,
,TPR_Q[6],BOOL,,OFF,,,,,
,TPR_Q[7],BOOL,,OFF,,,,,
67,TPR_Et,DINT[8],,,,,,,
,TPR_Et[0],DINT,,0,,,,,
,TPR_Et[1],DINT,,0,,,,,
,TPR_Et[2],DINT,,0,,,,,
,TPR_Et[3],DINT,,0,,,,,
,TPR_Et[4],DINT,,0,,,,,
,TPR_Et[5],DINT,,0,,,,,
,TPR_Et[6],DINT,,0,,,,,
,TPR_Et[7],DINT,,0,,,,,
68,TimerCnt1,INT,,0,,,,,
69,TimerCnt2,INT,,0,,,,,
70,TimerCnt3,INT,,0,,,,,
71,TimerCnt1Max,INT,,0,,,,,
72,TimerCnt2Max,INT,,0,,,,,
73,TimerCnt3Max,INT,,0,,,,,
74,iChnMax,INT,,0,,,,,
75,bDOEasy,BOOL[8],,,,,,,
,bDOEasy[0],BOOL,,OFF,,,,,
,bDOEasy[1],BOOL,,OFF,,,,,
,bDOEasy[2],BOOL,,OFF,,,,,
,bDOEasy[3],BOOL,,OFF,,,,,
,bDOEasy[4],BOOL,,OFF,,,,,
,bDOEasy[5],BOOL,,OFF,,,,,
,bDOEasy[6],BOOL,,OFF,,,,,
,bDOEasy[7],BOOL,,OFF,,,,,
76,bDI_ChnCheck,BOOL[8],,,,,,,
,bDI_ChnCheck[0],BOOL,,OFF,,,,,
,bDI_ChnCheck[1],BOOL,,OFF,,,,,
,bDI_ChnCheck[2],BOOL,,OFF,,,,,
,bDI_ChnCheck[3],BOOL,,OFF,,,,,
,bDI_ChnCheck[4],BOOL,,OFF,,,,,
,bDI_ChnCheck[5],BOOL,,OFF,,,,,
,bDI_ChnCheck[6],BOOL,,OFF,,,,,
,bDI_ChnCheck[7],BOOL,,OFF,,,,,
77,iAOTestState,INT,,0,,,,,
78,bAOTestSuccess,BOOL,,OFF,,,,,
79,diAICalTimeout,DINT,,0,,,,,
80,bAOTestFailed,BOOL,,OFF,,,,,
81,iTestPnt,INT,,0,,,,,
82,iTestPntMax,INT,,0,,,,,
83,fAOVal,REAL[8],,,,,,,
,fAOVal[0],REAL,,0.000000,,,,,
,fAOVal[1],REAL,,0.000000,,,,,
,fAOVal[2],REAL,,0.000000,,,,,
,fAOVal[3],REAL,,0.000000,,,,,
,fAOVal[4],REAL,,0.000000,,,,,
,fAOVal[5],REAL,,0.000000,,,,,
,fAOVal[6],REAL,,0.000000,,,,,
,fAOVal[7],REAL,,0.000000,,,,,
84,fAOTestPnt,REAL[5],,,,,,,
,fAOTestPnt[0],REAL,,1.000000,,,,,
,fAOTestPnt[1],REAL,,3.000000,,,,,
,fAOTestPnt[2],REAL,,5.000000,,,,,
,fAOTestPnt[3],REAL,,7.000000,,,,,
,fAOTestPnt[4],REAL,,9.000000,,,,,
85,iAOTestRet,INT,,0,,,,,
86,iAITestState,INT,,0,,,,,
87,bAITestSuccess,BOOL,,OFF,,,,,
88,bAITestFailed,BOOL,,OFF,,,,,
89,iZio8DI8DOItem,INT,,0,,,,,
90,iZioZCPItem,INT,,0,,,,,
91,i8DI8DOTestState,INT,,0,,,,,
92,xDDTestSuccess,BOOL,,OFF,,,,,
93,xDDTestFailed,BOOL,,OFF,,,,,
94,iZioDDSel,INT,,0,,,,,
95,bDIEasy,BOOL[8],,...,不保持,私有,,X0,
,bDIEasy[0],BOOL,,OFF,,,,X0,
,bDIEasy[1],BOOL,,OFF,,,,X1,
,bDIEasy[2],BOOL,,OFF,,,,X2,
,bDIEasy[3],BOOL,,OFF,,,,X3,
,bDIEasy[4],BOOL,,OFF,,,,X4,
,bDIEasy[5],BOOL,,OFF,,,,X5,
,bDIEasy[6],BOOL,,OFF,,,,X6,
,bDIEasy[7],BOOL,,OFF,,,,X7,
96,bDDO_N0,BOOL[8],,...,不保持,私有,,,
,bDDO_N0[0],BOOL,,OFF,,,,,
